Distance,Speed,Throttle,Brake,Time
0.0,301.93333333333334,100.0,0.0,4489.378
2.0,302.1264917608893,100.0,0.0,4489.40117905626
4.0,302.3243077946133,100.0,0.0,4489.424916989978
6.0,302.52200707447287,100.0,0.0,4489.448640887579
8.0,302.7197063543324,100.0,0.0,4489.47236478518
10.0,302.917405634192,100.0,0.0,4489.49608868278
12.0,303.1145355191257,100.0,0.0,4489.519744262296
14.0,303.3112568306011,100.0,0.0,4489.543350819672
16.0,303.5079781420765,100.0,0.0,4489.566957377049
18.0,303.70469945355194,100.0,0.0,4489.590563934426
20.0,303.9014207650273,100.0,0.0,4489.614170491804
22.0,304.0981420765027,100.0,0.0,4489.637777049181
24.0,304.2948633879781,100.0,0.0,4489.661383606557
26.0,304.49158469945354,100.0,0.0,4489.684990163934
28.0,304.68830601092895,100.0,0.0,4489.708596721312
30.0,304.88502732240437,100.0,0.0,4489.732203278689
32.0,305.1213746544427,100.0,0.0,4489.755709977327
34.0,305.41345269989307,100.0,0.0,4489.779076232927
36.0,305.7055307453434,100.0,0.0,4489.802442488526
38.0,305.99760879079383,100.0,0.0,4489.825808744125
40.0,306.2896868362442,100.0,0.0,4489.849174999726
42.0,306.5816712178949,100.0,0.0,4489.872533761431
44.0,306.87232927001327,100.0,0.0,4489.895786405601
46.0,307.1629873221317,100.0,0.0,4489.919039049771
48.0,307.4536453742501,100.0,0.0,4489.94229169394
50.0,307.7443034263685,100.0,0.0,4489.96554433811
52.0,308.0349614784869,100.0,0.0,4489.988796982279
54.0,308.3256195306053,100.0,0.0,4490.012049626448
56.0,308.61636372829247,100.0,0.0,4490.035309154384
58.0,308.90748737461354,100.0,0.0,4490.058599003502
60.0,309.0,100.0,0.0,4490.08189644013
62.0,309.0,100.0,0.0,4490.105197411003
64.0,309.0,100.0,0.0,4490.128498381877
66.0,309.0,100.0,0.0,4490.1517993527505
68.0,309.0,100.0,0.0,4490.175100323624
70.0,309.0,100.0,0.0,4490.198401294498
72.0,309.0,100.0,0.0,4490.221702265372
74.0,309.2361754648008,100.0,0.0,4490.244894037183
76.0,309.525537856649,100.0,0.0,4490.268043028532
78.0,309.8149002484972,100.0,0.0,4490.291192019879
80.0,310.10426264034544,100.0,0.0,4490.314341011228
82.0,310.39362503219365,100.0,0.0,4490.337490002576
84.0,310.68298742404187,100.0,0.0,4490.360638993923
86.0,310.9723498158901,100.0,0.0,4490.383787985272
88.0,311.14892710628953,100.0,0.0,4490.406849794881
90.0,311.31358852602,100.0,0.0,4490.429902393643
92.0,311.47824994575046,100.0,0.0,4490.4529549924055
94.0,311.6429113654809,100.0,0.0,4490.476007591167
96.0,311.8073524184376,100.0,0.0,4490.499029338581
98.0,311.9714531405605,100.0,0.0,4490.522003439678
100.0,312.1355538626835,100.0,0.0,4490.544977540776
102.0,312.29965458480643,100.0,0.0,4490.567951641873
104.0,312.4637553069294,100.0,0.0,4490.59092574297
106.0,312.6278560290523,100.0,0.0,4490.613899844067
108.0,312.79195675117523,100.0,0.0,4490.636873945165
110.0,312.9560574732982,100.0,0.0,4490.659848046262
112.0,313.08358529217674,100.0,0.0,4490.682758852785
114.0,313.1977381949977,100.0,0.0,4490.705646512126
116.0,313.3118910978187,100.0,0.0,4490.728534171468
118.0,313.42604400063976,100.0,0.0,4490.75142183081
120.0,313.54019690346075,100.0,0.0,4490.774309490151
122.0,313.65434980628174,100.0,0.0,4490.797197149493
124.0,313.76850270910273,100.0,0.0,4490.820084808834
126.0,313.8826556119238,100.0,0.0,4490.8429724681755
128.0,313.99680851474477,100.0,0.0,4490.8658601275165
130.0,314.11096141756576,100.0,0.0,4490.888747786858
132.0,314.22510348172307,100.0,0.0,4490.911633272882
134.0,314.3388659948563,100.0,0.0,4490.934442653125
136.0,314.4526285079896,100.0,0.0,4490.957252033368
138.0,314.5663910211228,100.0,0.0,4490.98006141361
140.0,314.6801535342561,100.0,0.0,4491.002870793854
142.0,314.7939160473893,100.0,0.0,4491.025680174096
144.0,314.9076785605226,100.0,0.0,4491.048489554339
146.0,315.02681476675195,100.0,0.0,4491.07129036268
148.0,315.16908913713803,100.0,0.0,4491.094054261942
150.0,315.3113635075241,100.0,0.0,4491.116818161204
152.0,315.4536378779102,100.0,0.0,4491.139582060466
154.0,315.59575776355734,100.0,0.0,4491.162321242169
156.0,315.7377221844003,100.0,0.0,4491.1850355495035
158.0,315.8796866052432,100.0,0.0,4491.207749856839
160.0,316.0216510260861,100.0,0.0,4491.230464164173
162.0,316.163615446929,100.0,0.0,4491.253178471508
164.0,316.3055798677719,100.0,0.0,4491.275892778844
166.0,316.44754428861484,100.0,0.0,4491.298607086178
168.0,316.5893374118782,100.0,0.0,4491.3212939859
170.0,316.73092485786185,100.0,0.0,4491.343947977258
172.0,316.87251230384555,100.0,0.0,4491.366601968615
174.0,317.0160988146284,100.0,0.0,4491.389253834048
176.0,317.17734521813895,100.0,0.0,4491.411828330539
178.0,317.3385568986593,100.0,0.0,4491.434397965812
180.0,317.49976857917966,100.0,0.0,4491.456967601085
182.0,317.66098025970007,100.0,0.0,4491.479537236358
184.0,317.8221919402204,100.0,0.0,4491.5021068716305
186.0,317.9834036207408,100.0,0.0,4491.524676506904
188.0,318.1446153012612,100.0,0.0,4491.547246142177
190.0,318.30582698178154,100.0,0.0,4491.56981577745
192.0,318.4670386623019,100.0,0.0,4491.592385412722
194.0,318.62825034282224,100.0,0.0,4491.614955047995
196.0,318.78946202334265,100.0,0.0,4491.637524683269
198.0,318.950673703863,100.0,0.0,4491.660094318541
200.0,319.0558332913522,100.0,0.0,4491.682633321579
202.0,319.13628149982446,100.0,0.0,4491.705158819951
204.0,319.2166545639743,100.0,0.0,4491.727663277913
206.0,319.29700132009594,100.0,0.0,4491.750160369627
208.0,319.3773480762176,100.0,0.0,4491.772657461341
210.0,319.4576948323392,100.0,0.0,4491.795154553055
212.0,319.5380415884609,100.0,0.0,4491.817651644769
214.0,319.6183883445825,100.0,0.0,4491.840148736483
216.0,319.69873510070414,100.0,0.0,4491.862645828197
218.0,319.77908185682577,100.0,0.0,4491.885142919911
220.0,319.8594286129474,100.0,0.0,4491.907640011625
222.0,319.939775369069,100.0,0.0,4491.930137103339
224.0,320.0175071569166,100.0,0.0,4491.952602290214
226.0,320.08765269381115,100.0,0.0,4491.975048862019
228.0,320.1577982307057,100.0,0.0,4491.997495433826
230.0,320.2279437676002,100.0,0.0,4492.019942005632
232.0,320.2980893044948,100.0,0.0,4492.042388577439
234.0,320.3682348413893,100.0,0.0,4492.064835149245
236.0,320.43838037828385,100.0,0.0,4492.087281721051
238.0,320.5085259151784,100.0,0.0,4492.109728292858
240.0,320.57866504477244,100.0,0.0,4492.1321728143275
242.0,320.6486881659238,100.0,0.0,4492.154580213096
244.0,320.71871128707505,100.0,0.0,4492.176987611864
246.0,320.7887344082264,100.0,0.0,4492.1993950106325
248.0,320.8587575293777,100.0,0.0,4492.221802409401
250.0,320.928780650529,100.0,0.0,4492.244209808169
252.0,320.99880377168034,100.0,0.0,4492.266617206938
254.0,321.09164486966074,100.0,0.0,4492.288994768718
256.0,321.18488254968867,100.0,0.0,4492.311371811925
258.0,321.27812022971654,100.0,0.0,4492.333748855132
260.0,321.37135790974446,100.0,0.0,4492.356125898339
262.0,321.46456359525365,100.0,0.0,4492.378495262861
264.0,321.5577058536761,100.0,0.0,4492.400849404882
266.0,321.6508481120986,100.0,0.0,4492.423203546904
268.0,321.7439903705211,100.0,0.0,4492.445557688925
270.0,321.8370812090889,100.0,0.0,4492.4678994901815
272.0,321.93015550049256,100.0,0.0,4492.490237320118
274.0,322.0174036905004,100.0,0.0,4492.51256918096
276.0,322.0871346708023,100.0,0.0,4492.534883094657
278.0,322.1568656511042,100.0,0.0,4492.557197008353
280.0,322.22659663140615,100.0,0.0,4492.57951092205
282.0,322.2963276117081,100.0,0.0,4492.601824835746
284.0,322.36605859201,100.0,0.0,4492.624138749443
286.0,322.43578957231193,100.0,0.0,4492.64645266314
288.0,322.5054170776784,100.0,0.0,4492.668733464857
290.0,322.57501809874276,100.0,0.0,4492.6910057915975
292.0,322.6446191198071,100.0,0.0,4492.713278118338
294.0,322.7142201408715,100.0,0.0,4492.735550445079
296.0,322.7838211619358,100.0,0.0,4492.7578227718195
298.0,322.8534221830002,100.0,0.0,4492.78009509856
300.0,322.9230232040645,100.0,0.0,4492.802367425301
302.0,322.99262422512885,100.0,0.0,4492.824639752042
304.0,323.07097837430774,100.0,0.0,4492.846873944806
306.0,323.15037006220825,100.0,0.0,4492.869103617419
308.0,323.2297617501087,100.0,0.0,4492.89133329003
310.0,323.3091534380092,100.0,0.0,4492.913562962643
312.0,323.38854512590973,100.0,0.0,4492.935792635255
314.0,323.46792173088704,100.0,0.0,4492.958018084649
316.0,323.54726567259763,100.0,0.0,4492.9802343883275
318.0,323.6266096143083,100.0,0.0,4493.002450692006
320.0,323.70595355601887,100.0,0.0,4493.024666995685
322.0,323.78529749772946,100.0,0.0,4493.046883299364
324.0,323.8646414394401,100.0,0.0,4493.0690996030435
326.0,323.9439853811507,100.0,0.0,4493.091315906722
328.0,324.0,100.0,0.0,4493.113534767009
330.0,324.0,100.0,0.0,4493.135756871016
332.0,324.0,100.0,0.0,4493.157978975023
334.0,324.0,100.0,0.0,4493.18020107903
336.0,324.0,100.0,0.0,4493.202423183036
338.0,324.0,100.0,0.0,4493.224645287043
340.0,324.0,100.0,0.0,4493.246867391051
342.0,324.0130200452034,100.0,0.0,4493.269083207232
344.0,324.1514902452988,100.0,0.0,4493.2912384392475
346.0,324.28996044539423,100.0,0.0,4493.313393671263
348.0,324.4284306454896,100.0,0.0,4493.335548903278
350.0,324.566900845585,100.0,0.0,4493.357704135294
352.0,324.7053710456804,100.0,0.0,4493.379859367308
354.0,324.8438221113188,100.0,0.0,4493.402011537811
356.0,324.9822538235562,100.0,0.0,4493.4241606117685
358.0,325.0,100.0,0.0,4493.446317619821
360.0,325.0,100.0,0.0,4493.46847579454
362.0,325.0,100.0,0.0,4493.490633969259
364.0,325.0,100.0,0.0,4493.512785884169
366.0,325.0,100.0,0.0,4493.534937693936
