Step,Speed_A,Throttle_A,Brake_A,Speed_B,Throttle_B,Brake_B
0,287.20383,100.0,0.0,287.20383,100.0,0.0
1,287.28195,100.0,0.0,287.28195,100.0,0.0
2,287.36008,100.0,0.0,287.36008,100.0,0.0
3,287.43823,100.0,0.0,287.43823,100.0,0.0
4,287.51636,100.0,0.0,287.51636,100.0,0.0
5,287.59448,100.0,0.0,287.59448,100.0,0.0
6,287.67264,100.0,0.0,287.67264,100.0,0.0
7,287.75076,100.0,0.0,287.75076,100.0,0.0
8,287.8289,100.0,0.0,287.8289,100.0,0.0
9,287.90695,100.0,0.0,287.90695,100.0,0.0
10,287.9847,100.0,0.0,287.9847,100.0,0.0
11,288.0554,100.0,0.0,288.0554,100.0,0.0
12,288.12436,100.0,0.0,288.12436,100.0,0.0
13,288.1933,100.0,0.0,288.1933,100.0,0.0
14,288.26224,100.0,0.0,288.26224,100.0,0.0
15,288.3312,100.0,0.0,288.3312,100.0,0.0
16,288.40015,100.0,0.0,288.40015,100.0,0.0
17,288.46912,100.0,0.0,288.46912,100.0,0.0
18,288.53806,100.0,0.0,288.53806,100.0,0.0
19,288.607,100.0,0.0,288.607,100.0,0.0
20,288.67596,100.0,0.0,288.67596,100.0,0.0
21,288.7449,100.0,0.0,288.7449,100.0,0.0
22,288.81384,100.0,0.0,288.81384,100.0,0.0
23,265.7598,0.0,100.0,288.8828,100.0,0.0
24,265.82874,0.0,100.0,288.95175,100.0,0.0
25,265.3734,0.0,100.0,288.49643,97.03782,2.962185
26,263.76627,0.0,100.0,286.88928,87.58403,12.415966
27,262.15912,0.0,100.0,285.28214,78.13025,21.869747
28,260.55197,0.0,100.0,283.675,68.67647,31.32353
29,258.94482,0.0,100.0,282.06787,59.22269,40.77731
30,257.3377,0.0,100.0,280.46072,49.76891,50.23109
31,255.73055,40.315125,59.684875,278.85358,40.315125,59.684875
32,254.12341,30.861345,69.13866,277.24643,30.861345,69.13866
33,252.51627,21.407562,78.59244,275.63928,21.407562,78.59244
34,250.90912,11.953781,88.04622,274.03214,11.953781,88.04622
35,249.30199,2.5,97.5,272.425,2.5,97.5
36,246.3251,0.0,100.0,269.44812,0.0,100.0
37,242.85579,0.0,100.0,265.97882,0.0,100.0
38,239.38647,0.0,100.0,262.5095,0.0,100.0
39,235.91716,0.0,100.0,259.0402,0.0,100.0
40,232.44785,0.0,100.0,255.57086,0.0,100.0
41,228.87846,0.0,100.0,252.0015,0.0,100.0
42,225.07487,0.0,100.0,248.19789,0.0,100.0
43,221.27127,0.0,100.0,244.39429,0.0,100.0
44,217.46767,0.0,100.0,240.5907,0.0,100.0
45,213.66408,0.0,100.0,236.7871,0.0,100.0
46,209.86047,0.0,100.0,232.98349,0.0,100.0
47,206.04253,0.0,100.0,229.16556,0.0,100.0
48,202.46555,0.0,100.0,225.58858,0.0,100.0
49,200.17984,0.0,100.0,223.30286,0.0,100.0
50,197.89412,0.0,100.0,221.01714,0.0,100.0
51,195.60841,0.0,100.0,218.73143,0.0,100.0
52,193.3227,0.0,100.0,216.44571,0.0,100.0
53,191.03697,0.0,100.0,214.16,0.0,100.0
54,188.75127,0.0,100.0,211.87428,0.0,100.0
55,186.39075,0.0,100.0,209.51378,0.0,100.0
56,183.68948,0.0,100.0,206.8125,0.0,100.0
57,180.98822,0.0,100.0,204.11124,0.0,100.0
58,178.26482,0.0,100.0,201.38785,0.0,100.0
59,175.4879,0.0,100.0,198.61092,0.0,100.0
60,172.81227,0.0,100.0,195.93529,0.0,100.0
61,193.28824,0.0,100.0,193.28824,0.0,100.0
62,190.64117,0.0,100.0,190.64117,0.0,100.0
63,187.99411,0.0,100.0,187.99411,0.0,100.0
64,185.90053,0.36648995,100.0,185.90053,0.36648995,100.0
65,184.13982,0.95339555,100.0,184.13982,0.95339555,100.0
66,182.37909,1.5403011,100.0,182.37909,1.5403011,100.0
67,180.61838,2.1272068,100.0,180.61838,2.1272068,100.0
68,178.85767,2.7141123,100.0,178.85767,2.7141123,100.0
69,177.09474,3.3017533,100.0,177.09474,3.3017533,100.0
70,175.32121,3.8929312,100.0,175.32121,3.8929312,100.0
71,175.0,4.5041428,100.0,175.0,4.5041428,100.0
72,175.0,5.119786,100.0,175.0,5.119786,100.0
73,175.0,5.7354283,100.0,175.0,5.7354283,100.0
74,175.0,6.352744,77.054245,175.0,6.352744,77.054245
75,175.0,6.9737787,3.1216006,175.0,6.9737787,3.1216006
76,173.99345,7.8627496,0.0,173.99345,7.8627496,0.0
77,172.94255,8.763532,0.0,172.94255,8.763532,0.0
78,171.87566,9.678005,0.0,171.87566,9.678005,0.0
79,170.79173,10.60709,0.0,170.79173,10.60709,0.0
80,169.7078,11.536175,0.0,169.7078,11.536175,0.0
81,168.62387,12.4652605,0.0,168.62387,12.4652605,0.0
82,167.42992,14.045153,0.0,167.42992,14.045153,0.0
83,166.08679,16.507553,0.0,166.08679,16.507553,0.0
84,164.69606,19.05722,0.0,164.69606,19.05722,0.0
85,163.30508,21.607332,0.0,163.30508,21.607332,0.0
86,161.91412,24.157444,0.0,161.91412,24.157444,0.0
87,160.52315,26.707554,0.0,160.52315,26.707554,0.0
88,159.13219,29.257666,0.0,159.13219,29.257666,0.0
89,157.73592,31.817476,0.0,157.73592,31.817476,0.0
90,156.33849,34.379436,0.0,156.33849,34.379436,0.0
91,156.0,38.075047,0.0,156.0,38.075047,0.0
92,156.0,42.133026,0.0,156.0,42.133026,0.0
93,156.0,46.16266,0.0,156.0,46.16266,0.0
94,156.0,50.190685,0.0,156.0,50.190685,0.0
95,156.0,54.218716,0.0,156.0,54.218716,0.0
96,156.25418,57.525063,0.0,156.25418,57.525063,0.0
97,156.70987,60.25924,0.0,156.70987,60.25924,0.0
98,157.16557,62.993416,0.0,157.16557,62.993416,0.0
99,157.62126,65.72759,0.0,157.62126,65.72759,0.0
