Sample_ID,Class_ID,Class_Name,Brake_Delta_S,Exit_Speed_Delta_KMH,Time_Loss_S
sample_001,0,Normal (正常),0.0,0.0,0.0
sample_002,1,Late Braking (晚煞車),0.09720681,7.4865026,0.3400328
sample_003,1,Late Braking (晚煞車),0.120312065,7.3074265,0.19352442
sample_004,1,Late Braking (晚煞車),0.1882521,7.519668,0.2657345
sample_005,1,Late Braking (晚煞車),0.12325825,3.9588706,0.18316515
sample_006,1,Late Braking (晚煞車),0.2113492,6.479443,0.19016609
sample_007,2,Early Braking (早煞車),-0.13912562,-0.6834783,0.15155876
sample_008,2,Early Braking (早煞車),-0.27014935,0.6929378,0.09378738
sample_009,2,Early Braking (早煞車),-0.263636,-0.23923549,0.19627531
sample_010,2,Early Braking (早煞車),-0.18334658,-0.62608725,0.15974441
sample_011,2,Early Braking (早煞車),-0.24484442,0.13029435,0.14003025
sample_012,3,Slow Throttle (出彎給油慢),0.0,5.41017,0.2503012
sample_013,3,Slow Throttle (出彎給油慢),0.0,9.8025055,0.23775291
sample_014,3,Slow Throttle (出彎給油慢),0.0,6.446677,0.18991187
sample_015,3,Slow Throttle (出彎給油慢),0.0,7.336478,0.3563276
sample_016,3,Slow Throttle (出彎給油慢),0.0,3.8689387,0.35209608
sample_017,0,Normal (正常),0.0,0.0,0.0
sample_018,1,Late Braking (晚煞車),0.11865542,7.0186343,0.1557563
sample_019,1,Late Braking (晚煞車),0.23508328,4.0896764,0.17999125
sample_020,1,Late Braking (晚煞車),0.24069847,2.646367,0.22502165
sample_021,1,Late Braking (晚煞車),0.1029794,2.8785977,0.26184303
sample_022,1,Late Braking (晚煞車),0.21750966,5.4542603,0.17108306
sample_023,2,Early Braking (早煞車),-0.18643157,-0.6458157,0.10332494
sample_024,2,Early Braking (早煞車),-0.27615437,0.88019085,0.10057585
sample_025,2,Early Braking (早煞車),-0.2545522,0.28050995,0.18756565
sample_026,2,Early Braking (早煞車),-0.17939514,-0.27542743,0.10461925
sample_027,2,Early Braking (早煞車),-0.19998452,-0.70695037,0.20413335
sample_028,3,Slow Throttle (出彎給油慢),0.0,3.371572,0.1375029
sample_029,3,Slow Throttle (出彎給油慢),0.0,5.541743,0.37144497
sample_030,3,Slow Throttle (出彎給油慢),0.0,5.3008614,0.16420482
sample_031,3,Slow Throttle (出彎給油慢),0.0,4.837607,0.17951958
